# active local classroom paths for project-16-jenkins-argocd-k8s
README.md	student project overview
START_HERE.md	beginner-safe entry point
P2_CLASSROOM.md	classroom worksheet
P2_EVIDENCE.md	local evidence record
P2_LOCAL_PILOT.md	local rehearsal record
